Customer ID,Customer Name,First_Name,Gender,Segment,Country,City,State,Region,Product ID
AZ-10750,Annie Zypern,Annie,Female,Consumer,United States,San Diego,California,West,OFF-BI-10001036
KB-16240,Karen Bern,Karen,Female,Corporate,United States,Chattanooga,Tennessee,South,OFF-AP-10000692
CA-12265,Christina Anderson,Christina,Female,Consumer,United States,Springfield,Virginia,South,OFF-EN-10002986
BE-11410,Bobby Elias,Bobby,Male,Consumer,United States,Lancaster,Ohio,East,OFF-PA-10004530
EB-13975,Erica Bern,Erica,Female,Corporate,United States,Los Angeles,California,West,TEC-PH-10002584
CH-12070,Cathy Hwang,Cathy,Female,Home Office,United States,Raleigh,North Carolina,South,OFF-AP-10001271
MH-17440,Mark Haberlin,Mark,Male,Corporate,United States,Houston,Texas,Central,OFF-LA-10003510
JR-16210,Justin Ritter,Justin,Male,Corporate,United States,San Francisco,California,West,OFF-PA-10000100
PB-19210,Phillip Breyer,Phillip,Male,Corporate,United States,Tulsa,Oklahoma,Central,OFF-AP-10001626
JS-15880,John Stevenson,John,Male,Consumer,United States,Atlanta,Georgia,South,OFF-PA-10000167
RD-19810,Ross DeVincentis,Ross,Male,Home Office,United States,Los Angeles,California,West,OFF-SU-10004661
DK-13090,Dave Kipp,Dave,Male,Consumer,United States,Clinton,Maryland,East,FUR-FU-10001057
FM-14380,Fred McMath,Fred,Male,Consumer,United States,Jackson,Mississippi,South,OFF-AR-10003478
PG-18820,Patrick Gardner,Patrick,Male,Consumer,United States,New York City,New York,East,OFF-EN-10003160
EA-14035,Erin Ashbrook,Erin,Female,Corporate,United States,Chicago,Illinois,Central,FUR-FU-10001940
JD-15790,John Dryer,John,Male,Consumer,United States,Belleville,New Jersey,East,FUR-FU-10000794
GW-14605,Giulietta Weimer,Giulietta,Female,Consumer,United States,Henderson,Kentucky,South,OFF-ST-10000934
JF-15565,Jill Fjeld,Jill,Female,Consumer,United States,New York City,New York,East,OFF-PA-10002250
GT-14710,Greg Tran,Greg,Male,Consumer,United States,New York City,New York,East,OFF-BI-10002133
CK-12760,Cyma Kinney,Cyma,Female,Corporate,United States,Long Beach,New York,East,TEC-MA-10000423
GT-14710,Greg Tran,Greg,Male,Consumer,United States,San Francisco,California,West,FUR-FU-10001215
AH-10210,Alan Hwang,Alan,Male,Consumer,United States,Nashville,Tennessee,South,FUR-BO-10003660
MC-17635,Matthew Clasen,Matthew,Male,Corporate,United States,Los Angeles,California,West,OFF-AP-10002222
BV-11245,Benjamin Venier,Benjamin,Male,Corporate,United States,Oceanside,New York,East,TEC-PH-10004006
LC-16960,Lindsay Castell,Lindsay,Female,Home Office,United States,Tampa,Florida,South,OFF-LA-10001474
EA-14035,Erin Ashbrook,Erin,Female,Corporate,United States,New York City,New York,East,OFF-AR-10003770
PV-18985,Paul Van Hugh,Paul,Male,Home Office,United States,Milwaukee,Wisconsin,Central,TEC-PH-10004833
TZ-21580,Tracy Zic,Tracy,Female,Consumer,United States,Los Angeles,California,West,FUR-CH-10000309
AC-10420,Alyssa Crouse,Alyssa,Female,Corporate,United States,Philadelphia,Pennsylvania,East,TEC-AC-10003447
BD-11725,Bruce Degenhardt,Bruce,Male,Consumer,United States,Newark,Ohio,East,TEC-PH-10001944
DL-12865,Dan Lawera,Dan,Male,Consumer,United States,New York City,New York,East,OFF-SU-10002301
EB-13930,Eric Barreto,Eric,Male,Consumer,United States,La Crosse,Wisconsin,Central,OFF-PA-10001977
DW-13540,Don Weiss,Don,Male,Consumer,United States,Houston,Texas,Central,FUR-CH-10001854
LC-16870,Lena Cacioppo,Lena,Female,Consumer,United States,Newark,Ohio,East,TEC-PH-10003601
RR-19525,Rick Reed,Rick,Male,Corporate,United States,New York City,New York,East,OFF-PA-10004621
KD-16270,Karen Daniels,Karen,Female,Consumer,United States,Yonkers,New York,East,OFF-EN-10004846
ON-18715,Odella Nelson,Odella,Female,Corporate,United States,Denver,Colorado,West,FUR-TA-10004147
BH-11710,Brosina Hoffman,Brosina,Female,Consumer,United States,Newark,Delaware,East,OFF-PA-10004243
JG-15310,Jason Gross,Jason,Male,Corporate,United States,Odessa,Texas,Central,OFF-BI-10002309
CC-12670,Craig Carreira,Craig,Male,Consumer,United States,Bloomington,Indiana,Central,OFF-BI-10000977
CC-12220,Chris Cortes,Chris,Male,Consumer,United States,San Antonio,Texas,Central,TEC-PH-10001459
TS-21160,Theresa Swint,Theresa,Female,Corporate,United States,San Francisco,California,West,OFF-BI-10000605
AA-10315,Alex Avila,Alex,Male,Consumer,United States,Round Rock,Texas,Central,OFF-ST-10000142
MG-17890,Michael Granlund,Michael,Male,Home Office,United States,San Diego,California,West,TEC-MA-10004002
RF-19345,Randy Ferguson,Randy,Male,Corporate,United States,Miami,Florida,South,OFF-PA-10004381
RD-19480,Rick Duston,Rick,Male,Consumer,United States,Mishawaka,Indiana,Central,FUR-FU-10003832
EM-13810,Eleni McCrary,Eleni,Female,Corporate,United States,Dover,New Hampshire,East,FUR-TA-10004442
RW-19630,Rob Williams,Rob,Male,Corporate,United States,Dallas,Texas,Central,TEC-MA-10004255
JB-16045,Julia Barnett,Julia,Female,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002827
LC-16870,Lena Cacioppo,Lena,Female,Consumer,United States,Chicago,Illinois,Central,OFF-ST-10001809
EB-13705,Ed Braxton,Ed,Male,Corporate,United States,Fort Worth,Texas,Central,OFF-AR-10004956
ZC-21910,Zuschuss Carroll,Zuschuss,Female,Consumer,United States,Miami,Florida,South,OFF-LA-10000134
PG-18820,Patrick Gardner,Patrick,Male,Consumer,United States,Glendale,Arizona,West,OFF-BI-10001757
BD-11620,Brian DeCherney,Brian,Male,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10001973
GB-14575,Giulietta Baptist,Giulietta,Female,Consumer,United States,New York City,New York,East,OFF-EN-10002986
SJ-20125,Sanjit Jacobs,Sanjit,Female,Home Office,United States,Dallas,Texas,Central,FUR-BO-10000330
SP-20650,Stephanie Phelps,Stephanie,Female,Corporate,United States,Jackson,Michigan,Central,FUR-CH-10000847
RB-19465,Rick Bensley,Rick,Male,Home Office,United States,Milford,Connecticut,East,OFF-PA-10001837
PS-18760,Pamela Stobb,Pamela,Female,Consumer,United States,Andover,Massachusetts,East,OFF-BI-10003784
CJ-12010,Caroline Jumper,Caroline,Female,Consumer,United States,Long Beach,New York,East,FUR-TA-10002356
BD-11770,Bryan Davis,Bryan,Male,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-FA-10002983
KF-16285,Karen Ferguson,Karen,Female,Home Office,United States,Los Angeles,California,West,TEC-AC-10000397
RH-19510,Rick Huthwaite,Rick,Male,Home Office,United States,Los Angeles,California,West,FUR-FU-10002918
MH-17785,Maya Herman,Maya,Female,Corporate,United States,Glendale,Arizona,West,OFF-PA-10004470
ON-18715,Odella Nelson,Odella,Female,Corporate,United States,Eagan,Minnesota,Central,TEC-PH-10002185
MB-18085,Mick Brown,Mick,Male,Consumer,United States,Vineland,New Jersey,East,OFF-PA-10001892
JP-16135,Julie Prescott,Julie,Female,Home Office,United States,Columbus,Georgia,South,FUR-FU-10002456
BT-11485,Brad Thomas,Brad,Male,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-ST-10002486
MC-18130,Mike Caudle,Mike,Male,Corporate,United States,Monroe,Louisiana,South,FUR-TA-10003748
CK-12595,Clytie Kelty,Clytie,Female,Consumer,United States,New York City,New York,East,FUR-CH-10004540
DK-13225,Dean Katz,Dean,Male,Corporate,United States,San Francisco,California,West,TEC-CO-10004202
SW-20245,Scot Wooten,Scot,Male,Consumer,United States,Los Angeles,California,West,TEC-PH-10003187
TW-21025,Tamara Willingham,Tamara,Female,Home Office,United States,Scottsdale,Arizona,West,OFF-ST-10001780
LT-17110,Liz Thompson,Liz,Female,Consumer,United States,San Antonio,Texas,Central,TEC-PH-10002398
AB-10060,Adam Bellavance,Adam,Male,Home Office,United States,Waynesboro,Virginia,South,OFF-PA-10004782
EH-13765,Edward Hooks,Edward,Male,Corporate,United States,San Francisco,California,West,OFF-BI-10000848
SC-20770,Stewart Carmichael,Stewart,Male,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-LA-10000240
DB-13360,Dennis Bolton,Dennis,Male,Home Office,United States,Riverside,California,West,OFF-BI-10004995
HZ-14950,Henia Zydlo,Henia,Female,Consumer,United States,Columbus,Ohio,East,FUR-FU-10003374
JS-15880,John Stevenson,John,Male,Consumer,United States,Harlingen,Texas,Central,OFF-BI-10001116
MM-18280,Muhammed MacIntyre,Muhammed,Male,Corporate,United States,Seattle,Washington,West,OFF-PA-10001593
SP-20650,Stephanie Phelps,Stephanie,Female,Corporate,United States,Redwood City,California,West,TEC-PH-10004531
SP-20545,Sibella Parks,Sibella,Female,Corporate,United States,Green Bay,Wisconsin,Central,TEC-PH-10000307
PL-18925,Paul Lucas,Paul,Male,Home Office,United States,Philadelphia,Pennsylvania,East,OFF-PA-10002893
FC-14335,Fred Chung,Fred,Male,Corporate,United States,San Francisco,California,West,OFF-PA-10000659
SJ-20125,Sanjit Jacobs,Sanjit,Female,Home Office,United States,Jackson,Mississippi,South,FUR-TA-10004915
MY-18295,Muhammed Yedwab,Muhammed,Male,Corporate,United States,Bryan,Texas,Central,OFF-PA-10004675
CS-12355,Christine Sundaresam,Christine,Female,Consumer,United States,Malden,Massachusetts,East,OFF-AR-10000369
VM-21835,Vivian Mathis,Vivian,Female,Consumer,United States,Newark,Delaware,East,TEC-PH-10001835
GZ-14470,Gary Zandusky,Gary,Male,Consumer,United States,Columbia,Maryland,East,TEC-PH-10003601
AC-10660,Anna Chung,Anna,Female,Consumer,United States,San Francisco,California,West,OFF-AR-10000203
RO-19780,Rose O'Brian,Rose,Female,Consumer,United States,Memphis,Tennessee,South,OFF-PA-10002222
DB-13060,Dave Brooks,Dave,Male,Consumer,United States,Columbia,Tennessee,South,TEC-PH-10003535
BT-11440,Bobby Trafton,Bobby,Male,Consumer,United States,Littleton,Colorado,West,TEC-AC-10003657
SV-20935,Susan Vittorini,Susan,Female,Consumer,United States,Oceanside,New York,East,OFF-AR-10001166
CC-12610,Corey Catlett,Corey,Male,Corporate,United States,Nashville,Tennessee,South,OFF-LA-10003121
ZC-21910,Zuschuss Carroll,Zuschuss,Female,Consumer,United States,Salem,Oregon,West,OFF-AR-10003394
PB-19105,Peter Bühler,Peter,Male,Consumer,United States,Evanston,Illinois,Central,TEC-AC-10002323
RD-19660,Robert Dilbeck,Robert,Male,Home Office,United States,Saint Peters,Missouri,Central,OFF-PA-10000223
AH-10030,Aaron Hawkins,Aaron,Male,Corporate,United States,Gulfport,Mississippi,South,OFF-AP-10001366
KT-16465,Kean Takahito,Kean,Male,Consumer,United States,Chicago,Illinois,Central,FUR-FU-10001617
DM-12955,Dario Medina,Dario,Male,Corporate,United States,Houston,Texas,Central,FUR-FU-10004586
RB-19645,Robert Barroso,Robert,Male,Corporate,United States,North Las Vegas,Nevada,West,OFF-PA-10002986
DR-12880,Dan Reichenbach,Dan,Male,Corporate,United States,Gresham,Oregon,West,FUR-FU-10001852
VG-21805,Vivek Grady,Vivek,Male,Corporate,United States,Richmond,Indiana,Central,FUR-FU-10000023
DC-12850,Dan Campbell,Dan,Male,Consumer,United States,Cleveland,Ohio,East,OFF-FA-10002975
TB-21280,Toby Braunhardt,Toby,Male,Consumer,United States,Norman,Oklahoma,Central,OFF-AR-10000914
DK-12835,Damala Kotsonis,Damala,Female,Corporate,United States,New York City,New York,East,TEC-PH-10002660
SP-20545,Sibella Parks,Sibella,Female,Corporate,United States,New York City,New York,East,OFF-ST-10000563
DB-13210,Dean Braden,Dean,Male,Consumer,United States,Jacksonville,North Carolina,South,TEC-AC-10002020
MV-17485,Mark Van Huff,Mark,Male,Consumer,United States,Pocatello,Idaho,West,OFF-LA-10001641
DS-13180,David Smith,David,Male,Corporate,United States,Columbus,Georgia,South,OFF-LA-10002368
AS-10045,Aaron Smayling,Aaron,Male,Corporate,United States,Arlington,Virginia,South,OFF-BI-10002225
CC-12220,Chris Cortes,Chris,Male,Consumer,United States,Los Angeles,California,West,TEC-PH-10001809
ME-17320,Maria Etezadi,Maria,Female,Home Office,United States,Chicago,Illinois,Central,OFF-AR-10003087
JM-15250,Janet Martin,Janet,Female,Consumer,United States,New York City,New York,East,TEC-AC-10001767
TB-21595,Troy Blackwell,Troy,Male,Consumer,United States,Springfield,Ohio,East,FUR-CH-10000513
CP-12085,Cathy Prescott,Cathy,Female,Corporate,United States,Norwich,Connecticut,East,TEC-PH-10002564
CS-11950,Carlos Soltero,Carlos,Male,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10002645
EH-13990,Erica Hackney,Erica,Female,Consumer,United States,New York City,New York,East,OFF-AR-10000937
RB-19360,Raymond Buch,Raymond,Male,Consumer,United States,Auburn,New York,East,FUR-CH-10000847
BB-10990,Barry Blumstein,Barry,Male,Corporate,United States,Sierra Vista,Arizona,West,OFF-BI-10004828
DW-13540,Don Weiss,Don,Male,Consumer,United States,New York City,New York,East,FUR-FU-10001861
TB-21175,Thomas Boland,Thomas,Male,Corporate,United States,New York City,New York,East,FUR-FU-10002937
FP-14320,Frank Preis,Frank,Male,Consumer,United States,New York City,New York,East,OFF-ST-10002574
DB-12910,Daniel Byrd,Daniel,Male,Home Office,United States,Columbus,Georgia,South,OFF-PA-10000357
MY-18295,Muhammed Yedwab,Muhammed,Male,Corporate,United States,Milwaukee,Wisconsin,Central,TEC-PH-10000307
DJ-13420,Denny Joy,Denny,Male,Corporate,United States,Milwaukee,Wisconsin,Central,OFF-ST-10000736
ZD-21925,Zuschuss Donatelli,Zuschuss,Female,Consumer,United States,Richmond,Indiana,Central,OFF-SU-10004664
SR-20740,Steven Roelle,Steven,Male,Home Office,United States,Dallas,Texas,Central,OFF-AP-10000358
ME-17320,Maria Etezadi,Maria,Female,Home Office,United States,Springfield,Virginia,South,TEC-PH-10002726
EH-14185,Evan Henry,Evan,Male,Consumer,United States,New York City,New York,East,OFF-PA-10000565
BC-11125,Becky Castell,Becky,Female,Home Office,United States,Troy,New York,East,TEC-PH-10002555
GM-14455,Gary Mitchum,Gary,Male,Home Office,United States,Houston,Texas,Central,OFF-AR-10000422
JH-16180,Justin Hirsh,Justin,Male,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10000206
VM-21685,Valerie Mitchum,Valerie,Female,Home Office,United States,Burlington,Vermont,East,FUR-FU-10002191
YC-21895,Yoseph Carroll,Yoseph,Male,Corporate,United States,San Francisco,California,West,OFF-AR-10000940
Dl-13600,Dorris liebe,Dorris,Female,Corporate,United States,New York City,New York,East,FUR-FU-10002107
SF-20200,Sarah Foster,Sarah,Female,Consumer,United States,New York City,New York,East,OFF-ST-10004634
ES-14080,Erin Smith,Erin,Female,Corporate,United States,Lakewood,New Jersey,East,OFF-PA-10001560
AS-10240,Alan Shonely,Alan,Male,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-FA-10000304
JL-15505,Jeremy Lonsdale,Jeremy,Male,Consumer,United States,New York City,New York,East,OFF-ST-10004804
LC-17140,Logan Currie,Logan,Male,Consumer,United States,Los Angeles,California,West,OFF-SU-10003505
ZC-21910,Zuschuss Carroll,Zuschuss,Female,Consumer,United States,Houston,Texas,Central,FUR-CH-10003061
EH-14125,Eugene Hildebrand,Eugene,Male,Home Office,United States,Troy,Ohio,East,OFF-LA-10001074
CK-12595,Clytie Kelty,Clytie,Female,Consumer,United States,Los Angeles,California,West,OFF-ST-10003058
PG-18820,Patrick Gardner,Patrick,Male,Consumer,United States,Smyrna,Georgia,South,OFF-PA-10001033
RM-19375,Raymond Messe,Raymond,Male,Consumer,United States,Columbus,Georgia,South,FUR-CH-10002965
CK-12325,Christine Kargatis,Christine,Female,Home Office,United States,Hot Springs,Arkansas,South,OFF-EN-10001453
EB-13750,Edward Becker,Edward,Male,Corporate,United States,Seattle,Washington,West,OFF-BI-10003676
SW-20350,Sean Wendt,Sean,Male,Home Office,United States,Detroit,Michigan,Central,TEC-PH-10003589
HF-14995,Herbert Flentye,Herbert,Male,Consumer,United States,Los Angeles,California,West,FUR-BO-10002268
JR-16210,Justin Ritter,Justin,Male,Corporate,United States,Springfield,Ohio,East,OFF-PA-10002333
FM-14215,Filia McAdams,Filia,Female,Corporate,United States,Bakersfield,California,West,FUR-FU-10000206
BT-11680,Brian Thompson,Brian,Male,Consumer,United States,San Francisco,California,West,OFF-ST-10002205
QJ-19255,Quincy Jones,Quincy,Male,Corporate,United States,Chicago,Illinois,Central,OFF-AR-10003481
BD-11605,Brian Dahlen,Brian,Male,Consumer,United States,Springfield,Virginia,South,TEC-AC-10002134
BP-11290,Beth Paige,Beth,Female,Consumer,United States,Los Angeles,California,West,OFF-BI-10003007
JF-15295,Jason Fortune-,Jason,Male,Consumer,United States,Los Angeles,California,West,TEC-AC-10002800
TB-21175,Thomas Boland,Thomas,Male,Corporate,United States,Wilson,North Carolina,South,OFF-AR-10002067
SP-20920,Susan Pistek,Susan,Female,Consumer,United States,San Francisco,California,West,FUR-FU-10002506
PB-19150,Philip Brown,Philip,Male,Consumer,United States,Los Angeles,California,West,TEC-PH-10001924
KT-16465,Kean Takahito,Kean,Male,Consumer,United States,Glendale,Arizona,West,OFF-EN-10004147
TB-21400,Tom Boeckenhauer,Tom,Male,Consumer,United States,Alexandria,Virginia,South,OFF-BI-10000138
JM-15580,Jill Matthias,Jill,Female,Consumer,United States,Baltimore,Maryland,East,TEC-PH-10003171
RB-19795,Ross Baird,Ross,Male,Home Office,United States,Gastonia,North Carolina,South,OFF-BI-10000301
BD-11320,Bill Donatelli,Bill,Male,Consumer,United States,San Francisco,California,West,OFF-ST-10002554
MY-18295,Muhammed Yedwab,Muhammed,Male,Corporate,United States,Grapevine,Texas,Central,OFF-PA-10000157
JK-16120,Julie Kriz,Julie,Female,Home Office,United States,San Diego,California,West,FUR-TA-10001539
AP-10915,Arthur Prichep,Arthur,Male,Consumer,United States,Columbus,Georgia,South,FUR-CH-10001215
BS-11365,Bill Shonely,Bill,Male,Corporate,United States,Lakewood,New Jersey,East,FUR-CH-10002961
BM-11785,Bryan Mills,Bryan,Male,Consumer,United States,Seattle,Washington,West,FUR-TA-10003469
PK-19075,Pete Kriz,Pete,Male,Consumer,United States,Nashville,Tennessee,South,OFF-AP-10002287
BF-11170,Ben Ferrer,Ben,Male,Home Office,United States,Raleigh,North Carolina,South,TEC-PH-10002033
SW-20350,Sean Wendt,Sean,Male,Home Office,United States,Omaha,Nebraska,Central,TEC-PH-10003931
JM-15535,Jessica Myrick,Jessica,Female,Consumer,United States,Lakewood,California,West,OFF-BI-10000320
CS-12175,Charles Sheldon,Charles,Male,Corporate,United States,Columbia,Tennessee,South,OFF-BI-10002012
CR-12580,Clay Rozendal,Clay,Male,Home Office,United States,Elmhurst,Illinois,Central,OFF-PA-10003845
RF-19840,Roy Französisch,Roy,Male,Consumer,United States,Chesapeake,Virginia,South,OFF-BI-10003350
TH-21115,Thea Hudgings,Thea,Female,Corporate,United States,Houston,Texas,Central,TEC-MA-10003066
CS-12490,Cindy Schnelling,Cindy,Female,Corporate,United States,New York City,New York,East,OFF-AR-10004344
GM-14455,Gary Mitchum,Gary,Male,Home Office,United States,Columbus,Ohio,East,OFF-AR-10000538
JO-15280,Jas O'Carroll,Jas,Male,Consumer,United States,Los Angeles,California,West,OFF-BI-10000848
KM-16720,Kunst Miller,Kunst,Female,Consumer,United States,New York City,New York,East,OFF-AR-10000817
SP-20545,Sibella Parks,Sibella,Female,Corporate,United States,Chicago,Illinois,Central,OFF-PA-10001184
DN-13690,Duane Noonan,Duane,Male,Consumer,United States,Seattle,Washington,West,OFF-BI-10003291
BT-11680,Brian Thompson,Brian,Male,Consumer,United States,Milford,Connecticut,East,TEC-PH-10000439
TN-21040,Tanja Norvell,Tanja,Female,Home Office,United States,Phoenix,Arizona,West,OFF-SU-10002301
EL-13735,Ed Ludwig,Ed,Male,Home Office,United States,Jefferson City,Missouri,Central,TEC-MA-10000423
TT-21460,Tonja Turnell,Tonja,Female,Home Office,United States,Aurora,Illinois,Central,OFF-AP-10000240
PG-18895,Paul Gonzalez,Paul,Male,Consumer,United States,San Francisco,California,West,FUR-FU-10004091
MM-17920,Michael Moore,Michael,Male,Consumer,United States,Rome,New York,East,TEC-PH-10000702
GK-14620,Grace Kelly,Grace,Female,Corporate,United States,Hesperia,California,West,OFF-AR-10001988
HK-14890,Heather Kirkland,Heather,Female,Corporate,United States,Charlotte,North Carolina,South,OFF-PA-10001569
MJ-17740,Max Jones,Max,Male,Consumer,United States,Lancaster,Ohio,East,OFF-FA-10001135
AF-10870,Art Ferguson,Art,Male,Consumer,United States,San Clemente,California,West,OFF-ST-10000760
CA-12055,Cathy Armstrong,Cathy,Female,Home Office,United States,Houston,Texas,Central,OFF-BI-10004209
JL-15130,Jack Lebron,Jack,Male,Consumer,United States,Riverside,California,West,OFF-BI-10000545
CL-12700,Craig Leslie,Craig,Male,Home Office,United States,Colorado Springs,Colorado,West,FUR-FU-10001037
JL-15850,John Lucas,John,Male,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-SU-10003505
DB-13360,Dennis Bolton,Dennis,Male,Home Office,United States,New York City,New York,East,TEC-PH-10002350
NB-18655,Nona Balk,Nona,Female,Corporate,United States,Dallas,Texas,Central,OFF-PA-10004996
EH-14005,Erica Hernandez,Erica,Female,Home Office,United States,Denver,Colorado,West,OFF-PA-10003177
BO-11350,Bill Overfelt,Bill,Male,Corporate,United States,Los Angeles,California,West,TEC-AC-10001109
